ID,Alternate,Bar,Fri/Sat,Hungry,Patrons,Price,Raining,Reservation,Type,WaitEstimate,Decision
T1,Yes,No,No,Yes,Full,$$,No,Yes,French,10-30,No
T2,No,Yes,Yes,No,Some,$$,No,No,Thai,0-10,Yes
T3,Yes,No,Yes,Yes,Full,$$$,No,No,Burger,>60,No
T4,No,Yes,No,Yes,None,$,Yes,No,French,0-10,No
T5,Yes,Yes,Yes,No,Some,$$$,No,Yes,Italian,30-60,Yes
T6,No,No,No,Yes,Full,$$,Yes,No,Thai,>60,No
T7,Yes,Yes,Yes,No,None,$,No,No,Burger,10-30,Yes
T8,No,No,No,Yes,Full,$$,Yes,Yes,Italian,30-60,No
T9,Yes,Yes,Yes,Yes,Some,$$,No,No,French,10-30,Yes
T10,No,No,No,Yes,None,$,No,No,Burger,0-10,No
T11,Yes,Yes,Yes,No,Full,$$,Yes,Yes,Thai,>60,No
T12,No,Yes,No,Yes,Some,$$,No,No,French,10-30,Yes
T13,Yes,Yes,No,No,Full,$$$,No,No,Italian,>60,No
T14,No,No,Yes,Yes,Some,$,Yes,Yes,Thai,30-60,Yes
T15,Yes,Yes,Yes,Yes,Full,$$,No,Yes,Burger,10-30,Yes
T16,No,Yes,Yes,No,None,$,Yes,No,French,0-10,No
T17,Yes,No,No,Yes,Some,$$,No,Yes,Italian,10-30,Yes
T18,No,Yes,No,No,Full,$$$,No,No,Thai,>60,No
T19,Yes,No,Yes,Yes,Some,$$,Yes,Yes,French,30-60,Yes
T20,No,No,No,No,Full,$$,No,No,Burger,10-30,No
T21,Yes,Yes,No,Yes,Some,$$,Yes,No,Italian,30-60,Yes
T22,No,No,Yes,Yes,Full,$$$,Yes,Yes,Thai,>60,No
T23,Yes,No,Yes,Yes,Some,$,No,No,Burger,0-10,Yes
T24,No,Yes,Yes,No,None,$,Yes,No,French,0-10,No
T25,Yes,Yes,No,Yes,Some,$$,No,Yes,Thai,10-30,Yes
T26,No,No,Yes,No,Full,$$$,No,No,Italian,>60,No
T27,Yes,Yes,Yes,Yes,Some,$$,No,No,Burger,30-60,Yes
T28,No,No,No,Yes,Full,$$,Yes,No,French,>60,No
T29,Yes,Yes,No,No,Some,$$,No,Yes,Thai,10-30,Yes
T30,No,No,Yes,Yes,None,$,Yes,Yes,Italian,0-10,No
